"","STATE00","COUNTY00","TRACT00","GEOID00"
"1",4,1,940100,4001940100
"2",4,1,940300,4001940300
"3",4,1,944200,4001944200
"4",4,1,944900,4001944900
"5",4,1,945000,4001945000
"6",4,1,970400,4001970400
"7",4,3,200,4003000200
"8",4,3,300,4003000300
"9",4,3,900,4003000900
"10",4,3,1400,4003001400
"11",4,3,1500,4003001500
"12",4,3,1600,4003001600
"13",4,3,1700,4003001700
"14",4,3,2000,4003002000
"15",4,5,1100,4005001100
"16",4,5,1300,4005001300
"17",4,5,1400,4005001400
"18",4,5,1800,4005001800
"19",4,5,1900,4005001900
"20",4,5,940400,4005940400
"21",4,5,941100,4005941100
"22",4,5,941200,4005941200
"23",4,5,942200,4005942200
"24",4,5,944500,4005944500
"25",4,5,944600,4005944600
"26",4,7,300,4007000300
"27",4,9,991100,4009991100
"28",4,9,991200,4009991200
"29",4,9,991300,4009991300
"30",4,9,991400,4009991400
"31",4,9,991500,4009991500
"32",4,9,991600,4009991600
"33",4,9,991700,4009991700
"34",4,11,990100,4011990100
"35",4,11,990200,4011990200
"36",4,11,990300,4011990300
"37",4,12,20200,4012020200
"38",4,12,20500,4012020500
"39",4,12,20600,4012020600
"40",4,13,10100,4013010100
"41",4,13,20201,4013020201
"42",4,13,20202,4013020202
"43",4,13,30302,4013030302
"44",4,13,30303,4013030303
"45",4,13,30304,4013030304
"46",4,13,30307,4013030307
"47",4,13,30308,4013030308
"48",4,13,30309,4013030309
"49",4,13,30310,4013030310
"50",4,13,30311,4013030311
"51",4,13,30312,4013030312
"52",4,13,30313,4013030313
"53",4,13,30314,4013030314
"54",4,13,30315,4013030315
"55",4,13,30316,4013030316
"56",4,13,30318,4013030318
"57",4,13,30319,4013030319
"58",4,13,30322,4013030322
"59",4,13,30323,4013030323
"60",4,13,30324,4013030324
"61",4,13,30325,4013030325
"62",4,13,30326,4013030326
"63",4,13,30327,4013030327
"64",4,13,30328,4013030328
"65",4,13,30329,4013030329
"66",4,13,30330,4013030330
"67",4,13,30331,4013030331
"68",4,13,30332,4013030332
"69",4,13,30333,4013030333
"70",4,13,30334,4013030334
"71",4,13,30335,4013030335
"72",4,13,30336,4013030336
"73",4,13,30337,4013030337
"74",4,13,30338,4013030338
"75",4,13,30339,4013030339
"76",4,13,30340,4013030340
"77",4,13,30341,4013030341
"78",4,13,30342,4013030342
"79",4,13,30343,4013030343
"80",4,13,30344,4013030344
"81",4,13,30345,4013030345
"82",4,13,30346,4013030346
"83",4,13,30347,4013030347
"84",4,13,30348,4013030348
"85",4,13,30349,4013030349
"86",4,13,30350,4013030350
"87",4,13,30351,4013030351
"88",4,13,30352,4013030352
"89",4,13,30354,4013030354
"90",4,13,30355,4013030355
"91",4,13,30356,4013030356
"92",4,13,30357,4013030357
"93",4,13,30358,4013030358
"94",4,13,30359,4013030359
"95",4,13,30360,4013030360
"96",4,13,30361,4013030361
"97",4,13,30363,4013030363
"98",4,13,30364,4013030364
"99",4,13,30365,4013030365
"100",4,13,30366,4013030366
"101",4,13,30367,4013030367
"102",4,13,30368,4013030368
"103",4,13,30369,4013030369
"104",4,13,30371,4013030371
"105",4,13,30372,4013030372
"106",4,13,30373,4013030373
"107",4,13,30374,4013030374
"108",4,13,30375,4013030375
"109",4,13,30377,4013030377
"110",4,13,30378,4013030378
"111",4,13,30379,4013030379
"112",4,13,30380,4013030380
"113",4,13,30400,4013030400
"114",4,13,40505,4013040505
"115",4,13,40508,4013040508
"116",4,13,40509,4013040509
"117",4,13,40510,4013040510
"118",4,13,40511,4013040511
"119",4,13,50601,4013050601
"120",4,13,50602,4013050602
"121",4,13,50700,4013050700
"122",4,13,60800,4013060800
"123",4,13,60900,4013060900
"124",4,13,61002,4013061002
"125",4,13,61003,4013061003
"126",4,13,61004,4013061004
"127",4,13,61005,4013061005
"128",4,13,61006,4013061006
"129",4,13,61007,4013061007
"130",4,13,61008,4013061008
"131",4,13,61400,4013061400
"132",4,13,71507,4013071507
"133",4,13,71508,4013071508
"134",4,13,71700,4013071700
"135",4,13,71904,4013071904
"136",4,13,71908,4013071908
"137",4,13,82011,4013082011
"138",4,13,82013,4013082013
"139",4,13,82014,4013082014
"140",4,13,82015,4013082015
"141",4,13,82100,4013082100
"142",4,13,82201,4013082201
"143",4,13,82202,4013082202
"144",4,13,92304,4013092304
"145",4,13,92310,4013092310
"146",4,13,92400,4013092400
"147",4,13,92703,4013092703
"148",4,13,92704,4013092704
"149",4,13,92706,4013092706
"150",4,13,92707,4013092707
"151",4,13,92714,4013092714
"152",4,13,92800,4013092800
"153",4,13,93000,4013093000
"154",4,13,93102,4013093102
"155",4,13,103218,4013103218
"156",4,13,103700,4013103700
"157",4,13,104300,4013104300
"158",4,13,104400,4013104400
"159",4,13,104700,4013104700
"160",4,13,105001,4013105001
"161",4,13,105500,4013105500
"162",4,13,106000,4013106000
"163",4,13,106500,4013106500
"164",4,13,106700,4013106700
"165",4,13,106800,4013106800
"166",4,13,107600,4013107600
"167",4,13,108300,4013108300
"168",4,13,108500,4013108500
"169",4,13,108700,4013108700
"170",4,13,108801,4013108801
"171",4,13,109000,4013109000
"172",4,13,109100,4013109100
"173",4,13,110200,4013110200
"174",4,13,110300,4013110300
"175",4,13,110500,4013110500
"176",4,13,110800,4013110800
"177",4,13,110900,4013110900
"178",4,13,112000,4013112000
"179",4,13,112506,4013112506
"180",4,13,112800,4013112800
"181",4,13,113400,4013113400
"182",4,13,113500,4013113500
"183",4,13,113800,4013113800
"184",4,13,114701,4013114701
"185",4,13,114702,4013114702
"186",4,13,115000,4013115000
"187",4,13,115100,4013115100
"188",4,13,116601,4013116601
"189",4,13,116705,4013116705
"190",4,13,116726,4013116726
"191",4,13,216802,4013216802
"192",4,13,216811,4013216811
"193",4,13,216812,4013216812
"194",4,13,216814,4013216814
"195",4,13,216815,4013216815
"196",4,13,216817,4013216817
"197",4,13,216819,4013216819
"198",4,13,216823,4013216823
"199",4,13,216824,4013216824
"200",4,13,216825,4013216825
"201",4,13,216827,4013216827
"202",4,13,216828,4013216828
"203",4,13,217202,4013217202
"204",4,13,217500,4013217500
"205",4,13,318502,4013318502
"206",4,13,318600,4013318600
"207",4,13,318800,4013318800
"208",4,13,319102,4013319102
"209",4,13,319200,4013319200
"210",4,13,319702,4013319702
"211",4,13,420101,4013420101
"212",4,13,420102,4013420102
"213",4,13,420103,4013420103
"214",4,13,420106,4013420106
"215",4,13,420203,4013420203
"216",4,13,420204,4013420204
"217",4,13,420400,4013420400
"218",4,13,420502,4013420502
"219",4,13,420702,4013420702
"220",4,13,420703,4013420703
"221",4,13,421000,4013421000
"222",4,13,421301,4013421301
"223",4,13,421700,4013421700
"224",4,13,422214,4013422214
"225",4,13,422601,4013422601
"226",4,13,422602,4013422602
"227",4,13,422603,4013422603
"228",4,13,422604,4013422604
"229",4,13,422605,4013422605
"230",4,13,422608,4013422608
"231",4,13,422611,4013422611
"232",4,13,422612,4013422612
"233",4,13,422614,4013422614
"234",4,13,422619,4013422619
"235",4,13,522703,4013522703
"236",4,13,522708,4013522708
"237",4,13,522709,4013522709
"238",4,13,522711,4013522711
"239",4,13,522712,4013522712
"240",4,13,522713,4013522713
"241",4,13,522714,4013522714
"242",4,13,522715,4013522715
"243",4,13,522716,4013522716
"244",4,13,522717,4013522717
"245",4,13,522718,4013522718
"246",4,13,522719,4013522719
"247",4,13,522720,4013522720
"248",4,13,522721,4013522721
"249",4,13,522722,4013522722
"250",4,13,522723,4013522723
"251",4,13,522724,4013522724
"252",4,13,522725,4013522725
"253",4,13,522726,4013522726
"254",4,13,522727,4013522727
"255",4,13,522729,4013522729
"256",4,13,522730,4013522730
"257",4,13,522731,4013522731
"258",4,13,522732,4013522732
"259",4,13,522735,4013522735
"260",4,13,522736,4013522736
"261",4,13,522737,4013522737
"262",4,13,522738,4013522738
"263",4,13,522739,4013522739
"264",4,13,522740,4013522740
"265",4,13,522741,4013522741
"266",4,13,522742,4013522742
"267",4,13,522743,4013522743
"268",4,13,522744,4013522744
"269",4,13,522745,4013522745
"270",4,13,522746,4013522746
"271",4,13,522747,4013522747
"272",4,13,522748,4013522748
"273",4,13,522749,4013522749
"274",4,13,522757,4013522757
"275",4,13,522902,4013522902
"276",4,13,723301,4013723301
"277",4,13,723302,4013723302
"278",4,15,940500,4015940500
"279",4,15,950400,4015950400
"280",4,15,950701,4015950701
"281",4,15,950702,4015950702
"282",4,15,950800,4015950800
"283",4,15,950900,4015950900
"284",4,15,951000,4015951000
"285",4,15,951100,4015951100
"286",4,15,951400,4015951400
"287",4,15,951500,4015951500
"288",4,15,951600,4015951600
"289",4,15,952000,4015952000
"290",4,15,953400,4015953400
"291",4,17,940300,4017940300
"292",4,17,941000,4017941000
"293",4,17,941100,4017941100
"294",4,17,944400,4017944400
"295",4,17,944500,4017944500
"296",4,17,944700,4017944700
"297",4,17,944800,4017944800
"298",4,17,960700,4017960700
"299",4,17,960900,4017960900
"300",4,17,961000,4017961000
"301",4,17,961100,4017961100
"302",4,17,961200,4017961200
"303",4,17,961300,4017961300
"304",4,17,961400,4017961400
"305",4,19,1301,4019001301
"306",4,19,1800,4019001800
"307",4,19,2200,4019002200
"308",4,19,2601,4019002601
"309",4,19,2701,4019002701
"310",4,19,2903,4019002903
"311",4,19,3001,4019003001
"312",4,19,3301,4019003301
"313",4,19,3701,4019003701
"314",4,19,4001,4019004001
"315",4,19,4015,4019004015
"316",4,19,4040,4019004040
"317",4,19,4041,4019004041
"318",4,19,4045,4019004045
"319",4,19,4047,4019004047
"320",4,19,4059,4019004059
"321",4,19,4060,4019004060
"322",4,19,4104,4019004104
"323",4,19,4105,4019004105
"324",4,19,4106,4019004106
"325",4,19,4108,4019004108
"326",4,19,4111,4019004111
"327",4,19,4314,4019004314
"328",4,19,4315,4019004315
"329",4,19,4318,4019004318
"330",4,19,4319,4019004319
"331",4,19,4409,4019004409
"332",4,19,4410,4019004410
"333",4,19,4416,4019004416
"334",4,19,4417,4019004417
"335",4,19,4420,4019004420
"336",4,19,4507,4019004507
"337",4,19,4509,4019004509
"338",4,19,4612,4019004612
"339",4,19,4629,4019004629
"340",4,19,4637,4019004637
"341",4,19,4703,4019004703
"342",4,19,4722,4019004722
"343",4,19,4900,4019004900
"344",4,19,5000,4019005000
"345",4,19,5100,4019005100
"346",4,21,202,4021000202
"347",4,21,203,4021000203
"348",4,21,301,4021000301
"349",4,21,303,4021000303
"350",4,21,304,4021000304
"351",4,21,305,4021000305
"352",4,21,306,4021000306
"353",4,21,500,4021000500
"354",4,21,601,4021000601
"355",4,21,602,4021000602
"356",4,21,800,4021000800
"357",4,21,900,4021000900
"358",4,21,1302,4021001302
"359",4,21,1401,4021001401
"360",4,21,1402,4021001402
"361",4,21,1700,4021001700
"362",4,21,2000,4021002000
"363",4,21,2100,4021002100
"364",4,21,940400,4021940400
"365",4,21,940600,4021940600
"366",4,21,941000,4021941000
"367",4,21,941100,4021941100
"368",4,23,996000,4023996000
"369",4,23,996101,4023996101
"370",4,23,996102,4023996102
"371",4,23,996200,4023996200
"372",4,23,996300,4023996300
"373",4,23,996401,4023996401
"374",4,23,996402,4023996402
"375",4,25,100,4025000100
"376",4,25,201,4025000201
"377",4,25,400,4025000400
"378",4,25,601,4025000601
"379",4,25,602,4025000602
"380",4,25,603,4025000603
"381",4,25,1000,4025001000
"382",4,25,1400,4025001400
"383",4,25,1600,4025001600
"384",4,25,1700,4025001700
"385",4,25,1800,4025001800
"386",4,25,2000,4025002000
"387",4,25,940400,4025940400
"388",4,27,401,4027000401
"389",4,27,500,4027000500
"390",4,27,904,4027000904
"391",4,27,1000,4027001000
"392",4,27,1300,4027001300
"393",4,27,10500,4027010500
"394",4,27,10600,4027010600
"395",4,27,10901,4027010901
"396",4,27,10902,4027010902
"397",4,27,11101,4027011101
"398",4,27,11102,4027011102
"399",4,27,11103,4027011103
"400",4,27,11200,4027011200
"401",4,27,11300,4027011300
"402",4,27,11401,4027011401
"403",4,27,11402,4027011402
"404",4,27,11502,4027011502
