"","geoid","state.fips","county.fips","tract.fips","pct.1990"
"1","04001976000","04","001","976000",94.3
"2","04001970400","04","001","970400",0
"3","04001976000","04","001","976000",5.7
"4","04001977100","04","001","977100",100
"5","04001977200","04","001","977200",100
"6","04001977600","04","001","977600",99.3
"7","04001977200","04","001","977200",0
"8","04001977300","04","001","977300",100
"9","04001977300","04","001","977300",0
"10","04001977400","04","001","977400",100
"11","04001977500","04","001","977500",0
"12","04001977400","04","001","977400",0
"13","04001977500","04","001","977500",100
"14","04001977800","04","001","977800",0
"15","04001970100","04","001","970100",0
"16","04001977500","04","001","977500",0
"17","04001977800","04","001","977800",100
"18","04001970100","04","001","970100",1
"19","04001977600","04","001","977600",0.7
"20","04001977700","04","001","977700",99.9
"21","04001970100","04","001","970100",94.6
"22","04001977700","04","001","977700",0.1
"23","04001977800","04","001","977800",0
"24","04001970100","04","001","970100",4.3
"25","04001970200","04","001","970200",100
"26","04001970300","04","001","970300",100
"27","04001970500","04","001","970500",9.8
"28","04001970400","04","001","970400",100
"29","04001970500","04","001","970500",90.2
"30","04003000100","04","003","000100",100
"31","04003000200","04","003","000200",0.5
"32","04003000100","04","003","000100",0
"33","04003000200","04","003","000200",99.3
"34","04003000300","04","003","000300",99.9
"35","04003000400","04","003","000400",0
"36","04003000200","04","003","000200",0.2
"37","04003000300","04","003","000300",0.1
"38","04003000400","04","003","000400",100
"39","04003000400","04","003","000400",0
"40","04003000500","04","003","000500",98.5
"41","04003000500","04","003","000500",1.4
"42","04003000600","04","003","000600",100
"43","04003000600","04","003","000600",0
"44","04003000700","04","003","000700",100
"45","04003000800","04","003","000800",0.5
"46","04003000800","04","003","000800",99.5
"47","04003000900","04","003","000900",100
"48","04003000500","04","003","000500",0.2
"49","04003001000","04","003","001000",100
"50","04003001100","04","003","001100",1
"51","04003001200","04","003","001200",0
"52","04003001000","04","003","001000",0
"53","04003001100","04","003","001100",99
"54","04003002100","04","003","002100",15.2
"55","04003001200","04","003","001200",100
"56","04003001300","04","003","001300",100
"57","04003002100","04","003","002100",0.2
"58","04003001300","04","003","001300",0
"59","04003001400","04","003","001400",100
"60","04003001500","04","003","001500",100
"61","04003001600","04","003","001600",100
"62","04003000400","04","003","000400",0
"63","04003001300","04","003","001300",0
"64","04003001700","04","003","001700",100
"65","04003002000","04","003","002000",0
"66","04003001800","04","003","001800",100
"67","04003001900","04","003","001900",100
"68","04003002000","04","003","002000",100
"69","04003002100","04","003","002100",84.6
"70","04005000100","04","005","000100",100
"71","04005000200","04","005","000200",99.4
"72","04005000300","04","005","000300",0.5
"73","04005000200","04","005","000200",0.6
"74","04005000300","04","005","000300",99.5
"75","04005000400","04","005","000400",100
"76","04005000500","04","005","000500",92
"77","04005000500","04","005","000500",0
"78","04005000600","04","005","000600",99.5
"79","04005000700","04","005","000700",1.5
"80","04005000700","04","005","000700",98.5
"81","04005000800","04","005","000800",98
"82","04005001000","04","005","001000",0.9
"83","04005000600","04","005","000600",0.5
"84","04005000900","04","005","000900",100
"85","04005001500","04","005","001500",0
"86","04005000800","04","005","000800",2
"87","04005001000","04","005","001000",99.1
"88","04005001100","04","005","001100",99.9
"89","04005001200","04","005","001200",100
"90","04005001400","04","005","001400",0
"91","04005000500","04","005","000500",8
"92","04005001300","04","005","001300",100
"93","04005001400","04","005","001400",0.3
"94","04005000500","04","005","000500",0
"95","04005001100","04","005","001100",0.1
"96","04005001400","04","005","001400",99.6
"97","04005001600","04","005","001600",0
"98","04005001900","04","005","001900",0
"99","04005000900","04","005","000900",0
"100","04005001400","04","005","001400",0.2
"101","04005001500","04","005","001500",100
"102","04005001600","04","005","001600",100
"103","04005001700","04","005","001700",100
"104","04005001800","04","005","001800",100
"105","04005001400","04","005","001400",0
"106","04005001700","04","005","001700",0
"107","04005001900","04","005","001900",100
"108","04005002000","04","005","002000",100
"109","04005002100","04","005","002100",0
"110","04005002200","04","005","002200",0
"111","04005002000","04","005","002000",0
"112","04005002100","04","005","002100",100
"113","04005001900","04","005","001900",0
"114","04005002200","04","005","002200",1
"115","04005002300","04","005","002300",0
"116","04005002400","04","005","002400",0.2
"117","04005002500","04","005","002500",99.8
"118","04005002200","04","005","002200",99
"119","04005002400","04","005","002400",0.1
"120","04005002200","04","005","002200",0
"121","04005002300","04","005","002300",0.4
"122","04005002400","04","005","002400",99.7
"123","04005002300","04","005","002300",99.6
"124","04005002400","04","005","002400",0
"125","04005002500","04","005","002500",0.2
"126","04007980100","04","007","980100",100
"127","04007980200","04","007","980200",100
"128","04007980400","04","007","980400",21.4
"129","04007980600","04","007","980600",0.1
"130","04007980300","04","007","980300",100
"131","04007980400","04","007","980400",78.6
"132","04007980500","04","007","980500",100
"133","04007980600","04","007","980600",0
"134","04007980600","04","007","980600",99.9
"135","04007980700","04","007","980700",0
"136","04007980600","04","007","980600",0
"137","04007980700","04","007","980700",100
"138","04007980800","04","007","980800",100
"139","04007980900","04","007","980900",0
"140","04007980800","04","007","980800",0
"141","04007980900","04","007","980900",100
"142","04007981000","04","007","981000",100
"143","04007981100","04","007","981100",0.2
"144","04007981000","04","007","981000",0
"145","04007981100","04","007","981100",99.5
"146","04007981200","04","007","981200",3.3
"147","04007980800","04","007","980800",0
"148","04007981100","04","007","981100",0.3
"149","04007981200","04","007","981200",96.7
"150","04007981300","04","007","981300",100
"151","04007986000","04","007","986000",100
"152","04007985000","04","007","985000",100
"153","04009991100","04","009","991100",0
"154","04009995000","04","009","995000",100
"155","04009991100","04","009","991100",100
"156","04009991500","04","009","991500",2.1
"157","04009991600","04","009","991600",0
"158","04009991200","04","009","991200",100
"159","04009991500","04","009","991500",1
"160","04009991300","04","009","991300",100
"161","04009991400","04","009","991400",100
"162","04009991098","04","009","991098",10.9
"163","04009991500","04","009","991500",96.9
"164","04009995196","04","009","995196",100
"165","04009995197","04","009","995197",100
"166","04009995198","04","009","995198",34.9
"167","04009991100","04","009","991100",0
"168","04009991500","04","009","991500",0
"169","04009991600","04","009","991600",100
"170","04009991098","04","009","991098",89.1
"171","04009991100","04","009","991100",0
"172","04009991200","04","009","991200",0
"173","04009991300","04","009","991300",0
"174","04009995198","04","009","995198",65.1
"175","04011990100","04","011","990100",100
"176","04011990200","04","011","990200",16.5
"177","04011990200","04","011","990200",83.5
"178","04011990398","04","011","990398",100
"179","04011990497","04","011","990497",100
"180","04011990498","04","011","990498",100
"181","04012020100","04","012","020100",100
"182","04012020500","04","012","020500",0
"183","04012020200","04","012","020200",99.5
"184","04012020100","04","012","020100",0
"185","04012020400","04","012","020400",0
"186","04012020500","04","012","020500",100
"187","04012020500","04","012","020500",0
"188","04012020600","04","012","020600",100
"189","04012020300","04","012","020300",80.4
"190","04012020400","04","012","020400",0
"191","04012020200","04","012","020200",0.5
"192","04012020300","04","012","020300",19.6
"193","04012020400","04","012","020400",100
"194","04013010100","04","013","010100",100
"195","04013020200","04","013","020200",11.4
"196","04013020200","04","013","020200",88.6
"197","04013420206","04","013","420206",0.1
"198","04013421101","04","013","421101",0
"199","04013421201","04","013","421201",0
"200","04013030302","04","013","030302",100
"201","04013030303","04","013","030303",65
"202","04013030304","04","013","030304",100
"203","04013030303","04","013","030303",35
"204","04013030314","04","013","030314",28.2
"205","04013030309","04","013","030309",100
"206","04013030314","04","013","030314",30.2
"207","04013030311","04","013","030311",100
"208","04013030340","04","013","030340",1.7
"209","04013030312","04","013","030312",100
"210","04013030313","04","013","030313",11
"211","04013030313","04","013","030313",59.4
"212","04013030314","04","013","030314",41.6
"213","04013030315","04","013","030315",100
"214","04013030321","04","013","030321",42
"215","04013030318","04","013","030318",100
"216","04013030319","04","013","030319",100
"217","04013030322","04","013","030322",55.2
"218","04013030323","04","013","030323",50.8
"219","04013030322","04","013","030322",44.8
"220","04013030325","04","013","030325",23.8
"221","04013030342","04","013","030342",0.1
"222","04013030326","04","013","030326",100
"223","04013030323","04","013","030323",49.2
"224","04013030325","04","013","030325",50.3
"225","04013030329","04","013","030329",28.6
"226","04013040509","04","013","040509",0
"227","04013030330","04","013","030330",100
"228","04013030331","04","013","030331",100
"229","04013030332","04","013","030332",45.6
"230","04013030333","04","013","030333",10.2
"231","04013103218","04","013","103218",0
"232","04013030334","04","013","030334",100
"233","04013030335","04","013","030335",70.7
"234","04013030336","04","013","030336",51.9
"235","04013030337","04","013","030337",100
"236","04013030336","04","013","030336",25.5
"237","04013030338","04","013","030338",10.1
"238","04013030342","04","013","030342",4.7
"239","04013030339","04","013","030339",26.1
"240","04013030339","04","013","030339",0
"241","04013030340","04","013","030340",98.3
"242","04013030341","04","013","030341",54
"243","04013030325","04","013","030325",25.9
"244","04013030342","04","013","030342",13.1
"245","04013030343","04","013","030343",35.3
"246","04013030338","04","013","030338",15.4
"247","04013030338","04","013","030338",15.9
"248","04013030342","04","013","030342",0
"249","04013030338","04","013","030338",17.2
"250","04013030338","04","013","030338",10
"251","04013030338","04","013","030338",16
"252","04013030338","04","013","030338",9.9
"253","04013030338","04","013","030338",5.6
"254","04013030339","04","013","030339",36.6
"255","04013030340","04","013","030340",0
"256","04013030339","04","013","030339",37.2
"257","04013030332","04","013","030332",54.4
"258","04013030333","04","013","030333",21.4
"259","04013030333","04","013","030333",29.9
"260","04013030333","04","013","030333",23.4
"261","04013030333","04","013","030333",15
"262","04013030335","04","013","030335",29.3
"263","04013030336","04","013","030336",22.6
"264","04013030342","04","013","030342",19.2
"265","04013030343","04","013","030343",21.4
"266","04013030343","04","013","030343",8.3
"267","04013030343","04","013","030343",9
"268","04013030343","04","013","030343",9.4
"269","04013030343","04","013","030343",16.6
"270","04013030341","04","013","030341",46
"271","04013030313","04","013","030313",29.6
"272","04013030342","04","013","030342",31.9
"273","04013030342","04","013","030342",13.7
"274","04013030342","04","013","030342",7.6
"275","04013030342","04","013","030342",3.9
"276","04013030342","04","013","030342",5.9
"277","04013030329","04","013","030329",31.4
"278","04013030329","04","013","030329",40.1
"279","04013030342","04","013","030342",0
"280","04013030321","04","013","030321",29.1
"281","04013030321","04","013","030321",28.9
"282","04013030343","04","013","030343",0
"283","04013030400","04","013","030400",100
"284","04013216817","04","013","216817",0.6
"285","04013040502","04","013","040502",99.5
"286","04013040509","04","013","040509",0.3
"287","04013040505","04","013","040505",97.9
"288","04013040507","04","013","040507",0
"289","04013040506","04","013","040506",100
"290","04013040505","04","013","040505",2.1
"291","04013040507","04","013","040507",100
"292","04013040508","04","013","040508",47
"293","04013040502","04","013","040502",0.5
"294","04013040509","04","013","040509",99.7
"295","04013040508","04","013","040508",36.3
"296","04013040508","04","013","040508",16.7
"297","04013040509","04","013","040509",0
"298","04013050600","04","013","050600",49.9
"299","04013050700","04","013","050700",0
"300","04013040509","04","013","040509",0
"301","04013050600","04","013","050600",34.5
"302","04013050600","04","013","050600",15.6
"303","04013723300","04","013","723300",0
"304","04013050600","04","013","050600",0
"305","04013050700","04","013","050700",100
"306","04013060800","04","013","060800",100
"307","04013060900","04","013","060900",0
"308","04013060900","04","013","060900",100
"309","04013061002","04","013","061002",100
"310","04013061003","04","013","061003",100
"311","04013061004","04","013","061004",97
"312","04013061004","04","013","061004",0.8
"313","04013061005","04","013","061005",100
"314","04013061006","04","013","061006",100
"315","04013061100","04","013","061100",0
"316","04013061007","04","013","061007",100
"317","04013061008","04","013","061008",100
"318","04013061004","04","013","061004",2.2
"319","04013061006","04","013","061006",0
"320","04013061100","04","013","061100",100
"321","04013061200","04","013","061200",100
"322","04013061300","04","013","061300",0.2
"323","04013061200","04","013","061200",0
"324","04013061300","04","013","061300",99.8
"325","04013061400","04","013","061400",100
"326","04013071503","04","013","071503",100
"327","04013071504","04","013","071504",100
"328","04013071505","04","013","071505",100
"329","04013071506","04","013","071506",100
"330","04013071508","04","013","071508",0
"331","04013071507","04","013","071507",100
"332","04013071506","04","013","071506",0
"333","04013071508","04","013","071508",100
"334","04013071509","04","013","071509",0
"335","04013071509","04","013","071509",50.1
"336","04013071510","04","013","071510",42.4
"337","04013071509","04","013","071509",31.9
"338","04013071510","04","013","071510",57.6
"339","04013071509","04","013","071509",17.9
"340","04013071600","04","013","071600",100
"341","04013071700","04","013","071700",100
"342","04013071802","04","013","071802",0.5
"343","04013071801","04","013","071801",100
"344","04013071802","04","013","071802",99.5
"345","04013071903","04","013","071903",100
"346","04013071904","04","013","071904",100
"347","04013071906","04","013","071906",100
"348","04013071908","04","013","071908",0.1
"349","04013071911","04","013","071911",0
"350","04013071906","04","013","071906",0
"351","04013071908","04","013","071908",99.9
"352","04013071909","04","013","071909",100
"353","04013071910","04","013","071910",100
"354","04013071911","04","013","071911",100
"355","04013082002","04","013","082002",99.9
"356","04013082003","04","013","082003",44.8
"357","04013082003","04","013","082003",55.2
"358","04013082004","04","013","082004",52.3
"359","04013082004","04","013","082004",47.7
"360","04013082006","04","013","082006",68.1
"361","04013082100","04","013","082100",0.9
"362","04013082005","04","013","082005",26.8
"363","04013082005","04","013","082005",73.2
"364","04013082006","04","013","082006",31.8
"365","04013082006","04","013","082006",0.1
"366","04013082100","04","013","082100",99.1
"367","04013082201","04","013","082201",100
"368","04013082202","04","013","082202",100
"369","04013092304","04","013","092304",70.6
"370","04013092305","04","013","092305",100
"371","04013092306","04","013","092306",100
"372","04013092307","04","013","092307",100
"373","04013092308","04","013","092308",100
"374","04013092309","04","013","092309",100
"375","04013092304","04","013","092304",29.4
"376","04013092400","04","013","092400",100
"377","04013092500","04","013","092500",100
"378","04013092600","04","013","092600",100
"379","04013092703","04","013","092703",100
"380","04013092704","04","013","092704",1.2
"381","04013092705","04","013","092705",32.2
"382","04013082002","04","013","082002",0.1
"383","04013082006","04","013","082006",0
"384","04013092706","04","013","092706",59.1
"385","04013092707","04","013","092707",100
"386","04013092708","04","013","092708",100
"387","04013092709","04","013","092709",100
"388","04013092706","04","013","092706",40.9
"389","04013092704","04","013","092704",20.6
"390","04013092704","04","013","092704",35
"391","04013092704","04","013","092704",43.2
"392","04013092705","04","013","092705",67.8
"393","04013092800","04","013","092800",100
"394","04013092900","04","013","092900",100
"395","04013093000","04","013","093000",100
"396","04013093101","04","013","093101",52.7
"397","04013093102","04","013","093102",100
"398","04013093101","04","013","093101",47.3
"399","04013103205","04","013","103205",100
"400","04013103206","04","013","103206",100
"401","04013103207","04","013","103207",100
"402","04013103208","04","013","103208",100
"403","04013103209","04","013","103209",100
"404","04013103210","04","013","103210",100
"405","04013103211","04","013","103211",100
"406","04013103212","04","013","103212",100
"407","04013103214","04","013","103214",100
"408","04013103218","04","013","103218",0.3
"409","04013103215","04","013","103215",100
"410","04013103216","04","013","103216",100
"411","04013103217","04","013","103217",100
"412","04013103218","04","013","103218",99.7
"413","04013103302","04","013","103302",100
"414","04013103303","04","013","103303",100
"415","04013103304","04","013","103304",38.3
"416","04013103304","04","013","103304",29.1
"417","04013103304","04","013","103304",32.4
"418","04013103400","04","013","103400",100
"419","04013103304","04","013","103304",0.1
"420","04013103501","04","013","103501",97.8
"421","04013103502","04","013","103502",0
"422","04013103501","04","013","103501",2.2
"423","04013103502","04","013","103502",100
"424","04013103604","04","013","103604",43.7
"425","04013103604","04","013","103604",1
"426","04013103605","04","013","103605",100
"427","04013103606","04","013","103606",100
"428","04013103607","04","013","103607",50.7
"429","04013103608","04","013","103608",100
"430","04013103609","04","013","103609",100
"431","04013103607","04","013","103607",49.3
"432","04013103604","04","013","103604",55.3
"433","04013103800","04","013","103800",37.5
"434","04013103800","04","013","103800",60.9
"435","04013103700","04","013","103700",100
"436","04013103900","04","013","103900",100
"437","04013104000","04","013","104000",100
"438","04013104100","04","013","104100",100
"439","04013104202","04","013","104202",100
"440","04013104203","04","013","104203",100
"441","04013104204","04","013","104204",100
"442","04013104205","04","013","104205",100
"443","04013104206","04","013","104206",100
"444","04013104207","04","013","104207",100
"445","04013104212","04","013","104212",100
"446","04013104214","04","013","104214",100
"447","04013104215","04","013","104215",100
"448","04013104216","04","013","104216",100
"449","04013104217","04","013","104217",100
"450","04013104218","04","013","104218",100
"451","04013104219","04","013","104219",100
"452","04013104221","04","013","104221",73.4
"453","04013104222","04","013","104222",100
"454","04013104223","04","013","104223",100
"455","04013104223","04","013","104223",0
"456","04013104224","04","013","104224",100
"457","04013104225","04","013","104225",100
"458","04013104226","04","013","104226",100
"459","04013104221","04","013","104221",26.6
"460","04013104300","04","013","104300",100
"461","04013104400","04","013","104400",100
"462","04013104500","04","013","104500",45.2
"463","04013104500","04","013","104500",54.8
"464","04013103800","04","013","103800",1.7
"465","04013104600","04","013","104600",100
"466","04013104700","04","013","104700",100
"467","04013104801","04","013","104801",100
"468","04013105101","04","013","105101",0.1
"469","04013104802","04","013","104802",100
"470","04013104900","04","013","104900",100
"471","04013105001","04","013","105001",100
"472","04013216901","04","013","216901",0
"473","04013105002","04","013","105002",100
"474","04013107900","04","013","107900",0.1
"475","04013216901","04","013","216901",0
"476","04013217001","04","013","217001",0.3
"477","04013105101","04","013","105101",99.9
"478","04013105102","04","013","105102",100
"479","04013106300","04","013","106300",0.1
"480","04013105101","04","013","105101",0
"481","04013105103","04","013","105103",100
"482","04013105200","04","013","105200",100
"483","04013105300","04","013","105300",100
"484","04013105400","04","013","105400",100
"485","04013105500","04","013","105500",100
"486","04013105600","04","013","105600",38.6
"487","04013105600","04","013","105600",61.4
"488","04013105700","04","013","105700",46.2
"489","04013105700","04","013","105700",53.8
"490","04013105800","04","013","105800",100
"491","04013105900","04","013","105900",100
"492","04013106000","04","013","106000",100
"493","04013106100","04","013","106100",100
"494","04013106200","04","013","106200",100
"495","04013106300","04","013","106300",99.9
"496","04013106400","04","013","106400",100
"497","04013106500","04","013","106500",100
"498","04013106600","04","013","106600",100
"499","04013106700","04","013","106700",100
"500","04013106800","04","013","106800",100
"501","04013106900","04","013","106900",100
"502","04013107000","04","013","107000",100
"503","04013107100","04","013","107100",44.3
"504","04013107100","04","013","107100",55.7
"505","04013107200","04","013","107200",49.9
"506","04013107200","04","013","107200",50.1
"507","04013107300","04","013","107300",100
"508","04013107400","04","013","107400",100
"509","04013107500","04","013","107500",100
"510","04013107600","04","013","107600",100
"511","04013107700","04","013","107700",100
"512","04013107800","04","013","107800",100
"513","04013107900","04","013","107900",99.9
"514","04013108000","04","013","108000",100
"515","04013108100","04","013","108100",100
"516","04013108200","04","013","108200",100
"517","04013108300","04","013","108300",100
"518","04013108400","04","013","108400",100
"519","04013108500","04","013","108500",100
"520","04013108600","04","013","108600",43.7
"521","04013108600","04","013","108600",56.3
"522","04013108700","04","013","108700",100
"523","04013108800","04","013","108800",33.7
"524","04013108800","04","013","108800",66.3
"525","04013108900","04","013","108900",38.5
"526","04013108900","04","013","108900",61.5
"527","04013109000","04","013","109000",100
"528","04013109100","04","013","109100",100
"529","04013109200","04","013","109200",100
"530","04013109300","04","013","109300",100
"531","04013109400","04","013","109400",100
"532","04013109500","04","013","109500",100
"533","04013109601","04","013","109601",53
"534","04013109602","04","013","109602",59.9
"535","04013109601","04","013","109601",47
"536","04013109602","04","013","109602",40.1
"537","04013109701","04","013","109701",73.2
"538","04013109702","04","013","109702",54.6
"539","04013109701","04","013","109701",26.8
"540","04013109702","04","013","109702",25.2
"541","04013109702","04","013","109702",20.2
"542","04013109800","04","013","109800",46.1
"543","04013109800","04","013","109800",53.9
"544","04013109900","04","013","109900",100
"545","04013110000","04","013","110000",49.1
"546","04013110000","04","013","110000",50.9
"547","04013110100","04","013","110100",100
"548","04013110200","04","013","110200",100
"549","04013110300","04","013","110300",100
"550","04013110400","04","013","110400",100
"551","04013110500","04","013","110500",100
"552","04013110600","04","013","110600",100
"553","04013110700","04","013","110700",36.6
"554","04013110700","04","013","110700",63.4
"555","04013110800","04","013","110800",100
"556","04013110900","04","013","110900",100
"557","04013111000","04","013","111000",100
"558","04013111100","04","013","111100",100
"559","04013217400","04","013","217400",0
"560","04013111201","04","013","111201",100
"561","04013111202","04","013","111202",37
"562","04013111202","04","013","111202",21.6
"563","04013111202","04","013","111202",41.3
"564","04013111300","04","013","111300",100
"565","04013111400","04","013","111400",51.1
"566","04013111400","04","013","111400",48.9
"567","04013111500","04","013","111500",26.2
"568","04013111500","04","013","111500",73.8
"569","04013111600","04","013","111600",33.3
"570","04013111600","04","013","111600",66.7
"571","04013111700","04","013","111700",100
"572","04013111800","04","013","111800",100
"573","04013111900","04","013","111900",100
"574","04013112000","04","013","112000",100
"575","04013112100","04","013","112100",100
"576","04013112200","04","013","112200",50.6
"577","04013112200","04","013","112200",49.4
"578","04013112300","04","013","112300",43.5
"579","04013112300","04","013","112300",56.5
"580","04013112400","04","013","112400",52.4
"581","04013112400","04","013","112400",47.6
"582","04013112502","04","013","112502",60.4
"583","04013112503","04","013","112503",100
"584","04013112502","04","013","112502",39.6
"585","04013112505","04","013","112505",100
"586","04013112506","04","013","112506",52.5
"587","04013112506","04","013","112506",26.8
"588","04013112506","04","013","112506",20.6
"589","04013112600","04","013","112600",29.9
"590","04013112600","04","013","112600",70.1
"591","04013112700","04","013","112700",100
"592","04013112800","04","013","112800",100
"593","04013112900","04","013","112900",100
"594","04013113000","04","013","113000",100
"595","04013113100","04","013","113100",0.1
"596","04013113100","04","013","113100",99.9
"597","04013113200","04","013","113200",34.8
"598","04013113200","04","013","113200",33.3
"599","04013113200","04","013","113200",31.9
"600","04013113300","04","013","113300",100
"601","04013113400","04","013","113400",100
"602","04013113500","04","013","113500",2.5
"603","04013113500","04","013","113500",97.5
"604","04013113600","04","013","113600",44.3
"605","04013113600","04","013","113600",55.7
"606","04013113700","04","013","113700",100
"607","04013113800","04","013","113800",100
"608","04013113900","04","013","113900",100
"609","04013114000","04","013","114000",100
"610","04013114100","04","013","114100",100
"611","04013114200","04","013","114200",100
"612","04013114900","04","013","114900",0
"613","04013114300","04","013","114300",33.1
"614","04013114300","04","013","114300",66.9
"615","04013114400","04","013","114400",47.5
"616","04013114400","04","013","114400",52.5
"617","04013114500","04","013","114500",100
"618","04013114600","04","013","114600",100
"619","04013114700","04","013","114700",11
"620","04013114700","04","013","114700",10
"621","04013114700","04","013","114700",79.1
"622","04013114800","04","013","114800",100
"623","04013114900","04","013","114900",100
"624","04013115000","04","013","115000",100
"625","04013115100","04","013","115100",100
"626","04013115200","04","013","115200",100
"627","04013115300","04","013","115300",100
"628","04013115400","04","013","115400",100
"629","04013115500","04","013","115500",100
"630","04013115600","04","013","115600",100
"631","04013115700","04","013","115700",100
"632","04013115800","04","013","115800",60.7
"633","04013115800","04","013","115800",39.3
"634","04013115900","04","013","115900",100
"635","04013116000","04","013","116000",100
"636","04013116100","04","013","116100",100
"637","04013116202","04","013","116202",55.2
"638","04013116203","04","013","116203",100
"639","04013116204","04","013","116204",100
"640","04013116202","04","013","116202",44.8
"641","04013116300","04","013","116300",100
"642","04013116400","04","013","116400",100
"643","04013116500","04","013","116500",100
"644","04013116601","04","013","116601",70.1
"645","04013623200","04","013","623200",0
"646","04013116602","04","013","116602",100
"647","04013116702","04","013","116702",92.9
"648","04013116703","04","013","116703",100
"649","04013116704","04","013","116704",100
"650","04013116707","04","013","116707",0
"651","04013116601","04","013","116601",29.9
"652","04013116702","04","013","116702",7.1
"653","04013116705","04","013","116705",100
"654","04013116704","04","013","116704",0
"655","04013116707","04","013","116707",40
"656","04013116708","04","013","116708",100
"657","04013116707","04","013","116707",30.7
"658","04013116710","04","013","116710",99.3
"659","04013116710","04","013","116710",0.7
"660","04013116711","04","013","116711",26.6
"661","04013116712","04","013","116712",100
"662","04013116713","04","013","116713",100
"663","04013116714","04","013","116714",9.8
"664","04013116707","04","013","116707",29.3
"665","04013116711","04","013","116711",48
"666","04013116711","04","013","116711",25.4
"667","04013116714","04","013","116714",17.6
"668","04013116714","04","013","116714",9.6
"669","04013116714","04","013","116714",10.3
"670","04013116714","04","013","116714",11.5
"671","04013116714","04","013","116714",7.5
"672","04013116714","04","013","116714",9.6
"673","04013116714","04","013","116714",11.3
"674","04013116714","04","013","116714",12.8
"675","04013103209","04","013","103209",0
"676","04013216802","04","013","216802",100
"677","04013216806","04","013","216806",100
"678","04013216807","04","013","216807",100
"679","04013216809","04","013","216809",0
"680","04013216809","04","013","216809",33.9
"681","04013216809","04","013","216809",10
"682","04013216809","04","013","216809",55
"683","04013216812","04","013","216812",100
"684","04013216813","04","013","216813",100
"685","04013216814","04","013","216814",100
"686","04013216815","04","013","216815",36.8
"687","04013216816","04","013","216816",100
"688","04013216817","04","013","216817",0
"689","04013216818","04","013","216818",59.2
"690","04013216817","04","013","216817",0
"691","04013216819","04","013","216819",54.9
"692","04013216818","04","013","216818",40.8
"693","04013216818","04","013","216818",0.1
"694","04013216819","04","013","216819",45.1
"695","04013216817","04","013","216817",6.4
"696","04013216817","04","013","216817",16.3
"697","04013216817","04","013","216817",14.1
"698","04013216809","04","013","216809",1.2
"699","04013216817","04","013","216817",36.9
"700","04013216815","04","013","216815",20.1
"701","04013216815","04","013","216815",43.1
"702","04013216817","04","013","216817",19.6
"703","04013216817","04","013","216817",6
"704","04013216901","04","013","216901",100
"705","04013216902","04","013","216902",100
"706","04013217001","04","013","217001",99.7
"707","04013217002","04","013","217002",100
"708","04013217101","04","013","217101",100
"709","04013217102","04","013","217102",100
"710","04013217201","04","013","217201",100
"711","04013217202","04","013","217202",100
"712","04013217300","04","013","217300",100
"713","04013111100","04","013","111100",0
"714","04013217400","04","013","217400",100
"715","04013217500","04","013","217500",100
"716","04013217600","04","013","217600",100
"717","04013217700","04","013","217700",100
"718","04013217800","04","013","217800",100
"719","04013217900","04","013","217900",100
"720","04013218000","04","013","218000",100
"721","04013218100","04","013","218100",100
"722","04013218200","04","013","218200",100
"723","04013218300","04","013","218300",100
"724","04013318400","04","013","318400",99.6
"725","04013421201","04","013","421201",0
"726","04013318501","04","013","318501",100
"727","04013318502","04","013","318502",100
"728","04013318600","04","013","318600",95.8
"729","04013318502","04","013","318502",0
